id_casteller,type_casteller,active,sex,height
5246,Baixos,no,male,4.0
5324,Altres,yes,male,4.0
13626,Contraforts,no,female,4.0
13627,Baixos,newbie,male,4.0
15489,Baixos,newbie,male,4.0
1977,Baixos,yes,male,5.0
1978,Baixos,yes,male,5.0
2052,Laterals,no,male,5.0
2063,Laterals,yes,male,5.0
2069,Contraforts,yes,female,5.0
2073,Laterals,no,male,5.0
2119,Laterals,no,male,5.0
2130,Baixos,yes,male,5.0
2209,Laterals,no,male,5.0
5101,Laterals,no,male,5.0
9454,Altres,yes,male,5.0
10272,Baixos,newbie,male,5.0
11600,Baixos,newbie,male,5.0
11932,Baixos,no,male,5.0
12854,Baixos,newbie,male,5.0
12973,Baixos,newbie,male,5.0
12977,Baixos,newbie,male,5.0
13202,Baixos,newbie,female,5.0
15115,Baixos,newbie,male,5.0
15292,,newbie,male,5.0
1970,Baixos,no,male,6.0
1971,Altres,no,male,6.0
1972,Baixos,yes,male,6.0
2111,Altres,no,male,6.0
2127,Agulles,yes,female,6.0
2136,Laterals,yes,male,6.0
2157,Altres,yes,male,6.0
3926,Agulles,no,female,6.0
3930,Laterals,no,male,6.0
5088,Laterals,yes,male,6.0
5258,Laterals,yes,male,6.0
5498,Laterals,yes,male,6.0
5537,Laterals,yes,male,6.0
12456,Baixos,newbie,female,6.0
13420,Laterals,no,male,6.0
13997,Laterals,newbie,male,6.0
1973,Laterals,yes,male,7.0
2132,Altres,no,male,7.0
2146,Agulles,yes,female,7.0
2149,Altres,yes,male,7.0
2154,Altres,no,male,7.0
2186,Laterals,yes,male,7.0
4452,Baixos,no,male,7.0
8820,Agulles,yes,female,7.0
9303,Laterals,no,female,7.0
11616,Laterals,no,male,7.0
11927,Laterals,newbie,male,7.0
12353,Agulles,newbie,female,7.0
13352,Agulles,newbie,female,7.0
13990,Laterals,no,male,7.0
15288,Laterals,newbie,male,7.0
2100,Laterals,no,male,8.0
2105,Agulles,no,female,8.0
2109,Altres,yes,male,8.0
2138,Laterals,yes,male,8.0
2170,Laterals,yes,male,8.0
2201,Altres,yes,male,8.0
5079,Laterals,no,male,8.0
8660,Laterals,no,male,8.0
9412,Laterals,yes,male,8.0
9745,Laterals,yes,male,8.0
10312,Laterals,no,female,8.0
13114,Laterals,newbie,male,8.0
13434,Laterals,yes,male,8.0
13443,Laterals,no,male,8.0
13445,Laterals,no,male,8.0
14221,Laterals,newbie,female,8.0
15107,Laterals,newbie,female,8.0
15108,Laterals,newbie,male,8.0
15212,Laterals,newbie,male,8.0
15272,Laterals,newbie,male,8.0
15565,Laterals,newbie,male,8.0
2018,Laterals,yes,male,9.0
2128,Laterals,yes,male,9.0
2203,Laterals,no,male,9.0
5245,Agulles,yes,female,9.0
11629,Laterals,no,male,9.0
13200,Laterals,newbie,male,9.0
13219,Laterals,newbie,male,9.0
13442,Laterals,newbie,male,9.0
2029,Altres,yes,male,10.0
2038,Altres,no,male,10.0
2099,Laterals,yes,male,10.0
2108,Agulles,yes,female,10.0
2185,Laterals,yes,male,10.0
2208,Altres,yes,male,10.0
3905,Laterals,yes,female,10.0
3925,Laterals,no,male,10.0
5267,Laterals,no,male,10.0
5413,Rengla,yes,male,10.0
10134,Laterals,yes,male,10.0
11594,Laterals,yes,male,10.0
11601,Laterals,newbie,male,10.0
11935,Laterals,newbie,male,10.0
11936,Laterals,newbie,male,10.0
13620,Laterals,newbie,male,10.0
15271,Laterals,newbie,male,10.0
15391,Altres,newbie,male,10.0
2054,Laterals,yes,male,11.0
2060,Altres,no,male,11.0
2150,Laterals,yes,male,11.0
8947,Laterals,no,male,11.0
9414,Laterals,yes,male,11.0
11587,Laterals,newbie,male,11.0
11613,Laterals,newbie,female,11.0
12967,Laterals,newbie,male,11.0
2002,Laterals,yes,male,12.0
3913,Laterals,yes,male,12.0
5306,Laterals,no,male,12.0
11617,Laterals,newbie,male,12.0
14190,Laterals,no,male,12.0
15222,Laterals,newbie,male,12.0
2328,Laterals,yes,male,13.0
3918,Laterals,no,male,13.0
3919,Laterals,no,male,13.0
5412,Rengla,no,male,13.0
9413,Laterals,yes,male,13.0
9677,Laterals,no,male,13.0
11937,Laterals,newbie,male,13.0
12855,Laterals,no,male,13.0
12969,Laterals,yes,male,13.0
13440,Laterals,yes,male,13.0
14357,Rengla,newbie,male,13.0
14865,Laterals,newbie,male,13.0
15119,Laterals,newbie,male,13.0
2083,Rengla,yes,male,14.0
3898,Laterals,yes,male,14.0
3904,Altres,yes,female,14.0
3921,Laterals,yes,male,14.0
3923,Rengla,yes,male,14.0
5071,Rengla,no,male,14.0
2024,Altres,no,male,15.0
2025,Rengla,yes,male,15.0
2137,Rengla,yes,male,15.0
2165,Rengla,no,male,15.0
5090,Rengla,yes,male,15.0
5288,Altres,yes,male,15.0
5540,Rengla,no,male,15.0
5549,Rengla,no,male,15.0
9401,Rengla,yes,male,15.0
10464,Rengla,yes,male,15.0
12851,Rengla,newbie,male,15.0
2064,Altres,yes,male,16.0
2090,Altres,yes,male,16.0
5308,Rengla,no,male,16.0
12452,Rengla,newbie,male,16.0
9300,Rengla,yes,male,17.0
2066,Rengla,yes,male,18.0
3899,Rengla,no,male,18.0
11602,Rengla,newbie,male,18.0
13116,Rengla,newbie,male,18.0
2028,Rengla,yes,male,19.0
2174,Rengla,yes,male,19.0
2210,Altres,yes,male,19.0
3897,Rengla,yes,male,19.0
5072,Rengla,no,male,19.0
5325,Rengla,yes,male,19.0
5411,Rengla,yes,male,19.0
9409,Rengla,yes,male,19.0
13117,Rengla,yes,male,19.0
3908,Rengla,yes,male,20.0
5319,Rengla,no,male,20.0
15211,Novell,newbie,male,20.0
14863,Rengla,newbie,male,21.0
2219,Rengla,no,male,22.0
5262,Rengla,yes,male,22.0
10575,Altres,yes,female,23.0
2142,Rengla,yes,male,24.0
9223,Rengla,no,male,24.0
2156,Altres,no,male,27.0
10577,Altres,yes,male,100.0
15700,Novell,newbie,female,155.0
15699,Novell,newbie,male,180.0
15685,Novell,newbie,male,185.0
15684,Novell,newbie,male,195.0
2000,Crosses,no,female,
2020,Baixos,no,male,
2035,Crosses,no,female,
2061,Laterals,no,male,
2074,Crosses,no,female,
2084,Crosses,no,female,
2086,Altres,no,female,
2129,Rengla,no,male,
2197,Altres,no,female,
2198,Laterals,no,male,
3927,Laterals,no,male,
5094,Crosses,no,female,
5247,Crosses,no,female,
5266,Crosses,no,female,
5276,Altres,no,male,
5286,Laterals,no,male,
5381,Altres,no,male,
5383,Crosses,no,female,
5471,Baixos,no,male,
5535,Laterals,no,male,
5580,Agulles,no,female,
9402,Rengla,no,male,
9690,Crosses,no,female,
10349,Crosses,no,female,
10430,Rengla,no,male,
11567,Crosses,yes,female,
13118,Altres,newbie,male,
13218,Falques,yes,female,
13447,Altres,no,female,
13621,Altres,no,female,
13622,Altres,no,female,
13625,Altres,yes,female,
13633,Altres,yes,female,
13998,Altres,no,female,
13999,Altres,no,female,
14000,Altres,no,male,
14119,Altres,no,female,
14362,Altres,no,female,
14540,Altres,newbie,male,
14551,Altres,newbie,male,
14563,Altres,no,male,
14569,Altres,no,male,
14578,Altres,no,male,
14899,Crosses,newbie,female,
14900,Novell,newbie,female,
15109,Novell,newbie,female,
15118,Novell,newbie,male,
15223,Novell,newbie,female,
15254,Altres,no,male,
15463,Novell,newbie,female,
15514,Novell,newbie,female,
15600,Novell,newbie,male,
15601,Novell,newbie,male,
15602,Novell,newbie,male,
15606,Novell,newbie,female,
15621,Novell,newbie,female,
15626,Altres,yes,male,
15630,Novell,newbie,male,
15648,Novell,newbie,male,
15657,Novell,newbie,male,
