date,hour,id_assaig, id_casteller, attendance
2017-09-14,14:00,42992.58333,2032,1
2017-09-14,14:00,42992.58333,2008,1
2017-09-14,14:00,42992.58333,1987,1
2017-09-14,14:00,42992.58333,1976,1
2017-09-14,14:00,42992.58333,2020,1
2017-09-14,14:00,42992.58333,1998,1
2017-09-14,14:00,42992.58333,2056,1
2017-09-14,14:00,42992.58333,2219,1
2017-09-14,14:00,42992.58333,2053,1
2017-09-14,14:00,42992.58333,1977,1
2017-09-14,14:00,42992.58333,2025,1
2017-09-14,14:00,42992.58333,2043,1
2017-09-14,14:00,42992.58333,2210,1
2017-09-14,14:00,42992.58333,2080,1
2017-09-14,14:00,42992.58333,2144,1
2017-09-14,14:00,42992.58333,2083,1
2017-09-14,14:00,42992.58333,1973,1
2017-09-14,14:00,42992.58333,2137,1
2017-09-14,14:00,42992.58333,1988,1
2017-09-14,14:00,42992.58333,2142,2
2017-09-14,14:00,42992.58333,1978,1
2017-09-14,14:00,42992.58333,2156,1
2017-09-14,14:00,42992.58333,2164,1
2017-09-14,14:00,42992.58333,2182,1
2017-09-14,14:00,42992.58333,1980,1
2017-09-14,14:00,42992.58333,2090,1
2017-09-14,14:00,42992.58333,2098,1
2017-09-14,14:00,42992.58333,2106,1
2017-09-14,14:00,42992.58333,2108,1
2017-09-14,14:00,42992.58333,2165,1
2017-09-14,14:00,42992.58333,2169,1
2017-09-14,14:00,42992.58333,2152,0
2017-09-14,14:00,42992.58333,2100,1
2017-09-14,14:00,42992.58333,3897,1
2017-09-14,14:00,42992.58333,2132,1
2017-09-14,14:00,42992.58333,2037,1
2017-09-14,14:00,42992.58333,2002,2
2017-09-14,14:00,42992.58333,2087,1
2017-09-14,14:00,42992.58333,2146,1
2017-09-14,14:00,42992.58333,1985,0
2017-09-14,14:00,42992.58333,2206,1
2017-09-14,14:00,42992.58333,3898,1
2017-09-14,14:00,42992.58333,1971,1
2017-09-14,14:00,42992.58333,1992,1
2017-09-14,14:00,42992.58333,2128,1
2017-09-14,14:00,42992.58333,2201,1
2017-09-14,14:00,42992.58333,2119,1
2017-09-14,14:00,42992.58333,2063,2
2017-09-14,14:00,42992.58333,2076,1
2017-09-14,14:00,42992.58333,3899,2
2017-09-14,14:00,42992.58333,1984,1
2017-09-14,14:00,42992.58333,1975,1
2017-09-14,14:00,42992.58333,1979,1
2017-09-14,14:00,42992.58333,2154,1
2017-09-14,14:00,42992.58333,2136,1
2017-09-14,14:00,42992.58333,1991,1
2017-09-14,14:00,42992.58333,1983,1
2017-09-14,14:00,42992.58333,2054,1
2017-09-14,14:00,42992.58333,2101,1
2017-09-14,14:00,42992.58333,2022,1
2017-09-14,14:00,42992.58333,1996,0
2017-09-14,14:00,42992.58333,2000,1
2017-09-14,14:00,42992.58333,2116,1
2017-09-14,14:00,42992.58333,1970,1
2017-09-14,14:00,42992.58333,2109,2
2017-09-14,14:00,42992.58333,2171,1
2017-09-14,14:00,42992.58333,2199,1
2017-09-14,14:00,42992.58333,2193,1
2017-09-14,14:00,42992.58333,2200,1
2017-09-14,14:00,42992.58333,2130,1
2017-09-14,14:00,42992.58333,2064,2
2017-09-14,14:00,42992.58333,2086,1
2017-09-14,14:00,42992.58333,2057,1
2017-09-14,14:00,42992.58333,2085,1
2017-09-14,14:00,42992.58333,2127,1
2017-09-14,14:00,42992.58333,1990,1
2017-09-14,14:00,42992.58333,3896,1
2017-09-14,14:00,42992.58333,2149,1
